Sample	total_reads	Saureus counts	Saureus percentage	Ecoli counts	Ecoli percentage	Vectors counts	Vectors percentage	Efaecium counts	Efaecium percentage	Sepidermidis counts	Sepidermidis percentage	EscerechiaPhage counts	EscerechiaPhage percentage	Cperfringens counts	Cperfringens percentage	Smutans counts	Smutans percentage	Mluteus counts	Mluteus percentage	Cacnes counts	Cacnes percentage	Cdiphtheriae counts	Cdiphtheriae percentage	No hits counts	No hits percentage
FAW24773_pass_barcode02_73c64176_366c15aa_0_screen	100000	91969.0	91.97	1165.0	1.17	1355.0	1.3599999999999999	1055.0	1.05	7223.0	7.22	0.0	0.0	624.0	0.62	816.0	0.82	302.0	0.3	177.0	0.17	207.0	0.21	6809	6.81
FAW24773_pass_barcode03_73c64176_366c15aa_0_screen	100000	95024.0	95.02	506.0	0.51	607.0	0.6000000000000001	589.0	0.59	5658.0	5.6499999999999995	0.0	0.0	316.0	0.32	469.0	0.47	162.0	0.16	93.0	0.09	103.0	0.1	4600	4.6
FAW24773_pass_barcode04_73c64176_366c15aa_0_screen	100000	94485.0	94.48	218.0	0.22	687.0	0.68	436.0	0.44	5184.0	5.18	0.0	0.0	238.0	0.24	335.0	0.34	115.0	0.12	65.0	0.07	73.0	0.07	4540	4.54
FAW24773_pass_barcode05_73c64176_366c15aa_1_screen	85046	11470.0	13.489999999999998	1185.0	1.4	1498.0	1.76	788.0	0.93	2900.0	3.41	0.0	0.0	434.0	0.51	614.0	0.73	259.0	0.3	155.0	0.18	186.0	0.22	69559	81.79
FAW94049_pass_barcode07_e4bd7938_617b8bfc_0_screen	20000	17931.0	89.64999999999999	70.0	0.35	774.0	3.86	229.0	1.1500000000000001	1758.0	8.8	0.0	0.0	49.0	0.24	72.0	0.36	26.0	0.13	14.0	0.07	18.0	0.09	1092	5.46
FAW94049_pass_barcode08_e4bd7938_617b8bfc_0_screen	20000	18116.0	90.58999999999999	122.0	0.61	139.0	0.7	124.0	0.62	1033.0	5.16	0.0	0.0	64.0	0.32	95.0	0.47	29.0	0.14	21.0	0.1	19.0	0.1	1750	8.75
FAW94049_pass_barcode09_e4bd7938_617b8bfc_0_screen	20000	19093.0	95.44999999999999	70.0	0.35	105.0	0.53	76.0	0.38	838.0	4.19	0.0	0.0	36.0	0.18	53.0	0.27	13.0	0.07	12.0	0.06	15.0	0.07	843	4.22
FAW94049_pass_barcode10_e4bd7938_617b8bfc_0_screen	20000	6666.0	33.33	228.0	1.1400000000000001	198.0	1.0	80.0	0.4	497.0	2.48	0.0	0.0	45.0	0.23	72.0	0.36	36.0	0.18	28.0	0.14	36.0	0.18000000000000002	13106	65.53
FAW94049_pass_barcode11_e4bd7938_617b8bfc_0_screen	20000	18037.0	90.19	273.0	1.36	302.0	1.51	126.0	0.63	1012.0	5.0600000000000005	0.0	0.0	74.0	0.37	90.0	0.45	36.0	0.18	23.0	0.12	29.0	0.14	1676	8.38
FAW94049_pass_barcode12_e4bd7938_617b8bfc_0_screen	20000	17717.0	88.58	58.0	0.29	88.0	0.44000000000000006	70.0	0.35000000000000003	697.0	3.4899999999999998	0.0	0.0	29.0	0.14	65.0	0.33	13.0	0.07	7.0	0.04	12.0	0.06	2204	11.02
FAW94049_pass_barcode13_e4bd7938_617b8bfc_0_screen	20000	18483.0	92.41000000000001	501.0	2.5	517.0	2.59	122.0	0.61	1063.0	5.319999999999999	0.0	0.0	60.0	0.3	104.0	0.52	37.0	0.18	12.0	0.06	24.0	0.12	1036	5.18
