Gene	Product	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
hlgB	Gamma-hemolysin component B	*	*	*	*	*	*
sspA	Glutamyl endopeptidase	*	*	*	*	*	*
sspB	Staphopain B	*	*	*	*	*	*
sspC	Staphostatin B	*	*	*	*	*	*
aroE	Shikimate dehydrogenase (NADP(+))	*	*	*	*	*	*
glpF	Glycerol uptake facilitator protein	*	*	*	*	*	*
gmk	Guanylate kinase	*	*	*	*	*	*
pta	Phosphate acetyltransferase	*	*	*	*	*	*
femB	Aminoacyltransferase FemB	*	*	*	*	*	*
icaA	Poly-beta-1	*	*	*	*	*	*
fnbB	Fibronectin-binding protein B	*	*	*	*	*	*
katA	Catalase	*	*	*	*	*	*
gyrA	DNA gyrase subunit A	*	*	*	*	*	*
gyrB	DNA gyrase subunit B	*	*	*	*	*	*
hlgC	Gamma-hemolysin component C	*	*	*	*	*	*
nuc	Thermonuclease	*	*	*	*	*	*
mecA	Adapter protein MecA	*	*	*	*	*	*
hlb	Phospholipase C	*	*	*	*	*	*
hldD	ADP-L-glycero-D-manno-heptose-6-epimerase	*	*	*	*	*	*
lipA	Lipase	*	*	*	*	*	*
femA	Aminoacyltransferase FemA	*	*	*	*	*	*
hly	Alpha-hemolysin	*	*	*	*	*	*
entA	Enterotoxin type A	*	*	*	*	*	*
msrA	Peptide methionine sulfoxide reductase MsrA	*	*	*	*	*	*
tetA	Tetracycline resistance protein	*	*	*	*	*	*
arcC	Carbamate kinase	*	*	*	*	*	*
tpi	Triosephosphate isomerase	*	*	*	*	*	*
splB	Serine protease SplB	*	*	n/a	*	*	*
sak	Staphylokinase	*	*	*	n/a	*	*
spA	Immunoglobulin G-binding protein A	n/a	*	*	*	*	*
fnbA	Fibronectin-binding protein A	n/a	*	*	*	*	*
clfa	Clumping factor A	*	n/a	*	*	n/a	*
entD	Enterotoxin type D	*	n/a	*	*	n/a	*
sraP	Serine-rich adhesin for platelets	n/a	n/a	*	*	*	n/a
blaZ	Beta-lactamase	*	n/a	n/a	n/a	*	*
lukEv	Leucotoxin LukEv	*	n/a	n/a	*	n/a	*
hylB	Hyaluronate lyase	*	*	n/a	n/a	*	n/a
tst	Toxic shock syndrome toxin-1	n/a	n/a	n/a	n/a	*	n/a
pvl	phage protein	n/a	n/a	n/a	n/a	n/a	n/a
